region,wavelength_source,fft_confidence,incip_real,l0_m,Qr_m2s,t0_years,intermittency_frac,modern_used,W_modern_l0,age_power_years,age_linear_years,age_geomean_years,age_floor_years,flagged_W_gt_5000,linear_unphysical
Chad,fft,high,13.70633059,0.3156031819751779,1.44e-06,0.013762930548508934,0.2555885036,1700.3,5387.46152481355,979612412904.7019,3440314.7123920815,1835803637.7995203,62046.61626732936,True,False
Chad,fft,high,14.86577889,0.34230074120979065,1.15e-06,0.01723358259987206,0.1213123479,1802.0,5264.37656439541,2305754757441.3486,8864409.416726727,4520968279.531006,163688.83618850252,True,False
Chad,fft,high,14.50498456,0.33399305901586496,1.23e-06,0.016112699178742165,0.1301322993,1604.3,4803.393234359982,1278454999138.4893,7035121.2065448295,2999014150.6922636,142669.68247393295,False,False
Chad,fft,high,14.32543546,0.3298587455386953,1.27e-06,0.015605212590435328,0.140625,1604.3,4863.596984157576,1218455002297.9502,6386033.507840786,2789461322.9924755,127866.16888610373,False,False
Chad,fft,high,14.28053193,0.3288247928803334,1.28e-06,0.015483296867072551,0.15157390510000002,1428.4,4343.954686287376,642138392349.0808,5235819.232285482,1833608612.667981,117702.99128396208,False,False
Chad,fft,high,13.91847104,0.32048794676368325,1.38e-06,0.014361318833226716,0.1756006691,1604.3,5005.804480949654,1035258705018.8727,4847239.001854194,2240121954.7106237,94235.95946805787,True,False
Chad,fft,high,13.63844416,0.3140400230260886,1.46e-06,0.01357439725332388,0.1922141119,2409.3,7671.952054976922,7354914099730.391,6465136.087381141,6895688549.068565,81373.64769790786,True,False
Chad,fft,high,13.44375829,0.30955716894241175,1.52e-06,0.013038565782797938,0.2017563869,2409.3,7783.053476781901,7225449364625.137,6003152.667664942,6586006045.269572,74464.80039348941,True,False
Chad,fft,high,13.57793415,0.3126467141771627,1.48e-06,0.013390959452603287,0.197156326,1604.3,5131.350905837174,971584519989.2665,4128803.4130260316,2002868313.7378109,78261.73607543924,True,False
Chad,fft,high,13.46978988,0.31015657463906604,1.51e-06,0.01312491390056481,0.2046456813,1909.8,6157.535116650239,2256155648420.922,4695456.99999293,3254793669.720341,73899.64943096432,True,False
Chad,fft,high,13.28050705,0.3057981314329135,1.57e-06,0.012623324834301187,0.2185218978,2273.3,7433.989178899611,5149669756352.342,5121941.11678155,5135786722.879708,66562.1426438447,True,False
Chad,physics_colI,,13.31798712,0.3066611508439061,1.56e-06,0.012704243583239013,0.21802767639999998,446.9509568,1457.4749868707788,1670470401.3608518,950415.2259406273,39845206.78747325,67140.67216133891,False,False
Chad,physics_colI,,13.34001156,0.3071682875497939,1.55e-06,0.012786206445066364,0.22650547450000003,315.4184887,1026.8588961966611,287324005.71298224,626456.2110506338,13416255.362911273,65044.63907952372,False,False
Chad,physics_colI,,13.32537644,0.306831297980612,1.56e-06,0.012704243583239013,0.2404577251,446.9509568,1456.666773375387,1510506693.4520183,861242.9334418741,36068174.55392221,60877.74779197928,False,False
Chad,physics_colI,,13.31281442,0.30654204379562044,1.56e-06,0.012704243583239013,0.2550182482,1513.785733,4938.264631683869,589710984617.2839,2911860.611745206,1310403063.3436997,57401.871617400924,False,False
Chad,physics_colI,,13.33726756,0.30710510396278984,1.55e-06,0.012786206445066364,0.2615191606,2706.152597,8811.812510051572,10088281248603.258,5150600.802780922,7208377729.9566965,56336.08950329723,True,False
Chad,fft,high,13.33124161,0.3069663499044417,1.56e-06,0.012704243583239013,0.2638762165,2273.3,7405.6977278052655,4211877091749.7593,4252295.558352387,4232038072.7934937,55474.96829169857,True,False
